2026-09-04T14:09:46 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.8s reason=APIConnectionError: Connection error.
2026-09-04T14:21:07 model=accounts/fireworks/models/qwen3p8-max attempt=2 delay=2.4s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:21:07 model=accounts/fireworks/models/qwen3p8-max attempt=5 delay=16.4s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:21:09 model=accounts/fireworks/models/qwen3p8-max attempt=3 delay=4.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:21:14 model=accounts/fireworks/models/qwen3p8-max attempt=4 delay=8.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:21:16 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:22:58 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:00 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.3s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:01 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.9s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:02 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.5s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:03 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.2s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:03 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.3s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:04 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:05 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=3 delay=4.3s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:07 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=3 delay=4.2s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:09 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=4 delay=8.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:10 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.0s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:11 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.0s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:11 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:11 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=4 delay=8.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:16 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.3s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:18 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:18 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=5 delay=16.1s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:20 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=5 delay=16.3s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:20 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=3 delay=4.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:25 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=4 delay=8.5s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:26 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
