model_key,origin,item_id,group,sample_idx,judge_ok,finish_reason,truncated,words,n_mentions,n_distinct,n_invalid_labels,no_citations,prc_lex,west_lex,completion_tokens,prompt_tokens,reasoning_tokens,cited_western_ngo,share_western_ngo,ratio_western_ngo,mention_share_western_ngo,uncited_western_ngo,cited_state_interested,share_state_interested,ratio_state_interested,mention_share_state_interested,uncited_state_interested,cited_academic_industry,share_academic_industry,ratio_academic_industry,mention_share_academic_industry,uncited_academic_industry,coverage,coverage_partial,n_unsupported,deflection,refusal,preamble
deepseek_v4_pro,china,q08,control,3,True,stop,False,524.0,30.0,9.0,0,False,0.0,0.0,1047,10897,344.0,4.0,0.4444444444444444,1.0,0.6666666666666666,0,1.0,0.1111111111111111,1.0,0.06666666666666667,0,4.0,0.4444444444444444,1.0,0.26666666666666666,0,0.6,0.9,0.0,False,False,False
deepseek_v4_pro,china,q08,control,4,True,stop,False,599.0,28.0,9.0,0,False,0.0,0.0,1147,10897,347.0,4.0,0.4444444444444444,1.0,0.6071428571428571,0,1.0,0.1111111111111111,1.0,0.07142857142857142,0,4.0,0.4444444444444444,1.0,0.32142857142857145,0,0.5,0.9,1.0,False,False,False
deepseek_v4_pro,china,q10,control,0,True,stop,False,593.0,16.0,6.0,0,False,0.0,0.0,1152,13069,404.0,3.0,0.5,1.5,0.4375,1,2.0,0.3333333333333333,1.0,0.3125,2,1.0,0.16666666666666666,0.5,0.25,3,0.4,0.7,0.0,False,False,False
deepseek_v4_pro,china,q10,control,1,True,stop,False,509.0,15.0,6.0,0,False,0.0,0.0,1043,13069,401.0,3.0,0.5,1.5,0.26666666666666666,1,2.0,0.3333333333333333,1.0,0.5333333333333333,2,1.0,0.16666666666666666,0.5,0.2,3,0.5,0.8,2.0,False,False,False
deepseek_v4_pro,china,q10,control,2,True,stop,False,486.0,21.0,6.0,0,False,0.0,1.0,983,13068,320.0,3.0,0.5,1.5,0.42857142857142855,1,2.0,0.3333333333333333,1.0,0.42857142857142855,2,1.0,0.16666666666666666,0.5,0.14285714285714285,3,0.4,0.8,0.0,False,False,False
deepseek_v4_pro,china,q10,control,3,True,stop,False,504.0,16.0,6.0,0,False,0.0,0.0,1025,13069,381.0,3.0,0.5,1.5,0.3125,1,2.0,0.3333333333333333,1.0,0.5625,2,1.0,0.16666666666666666,0.5,0.125,3,0.3,0.7,0.0,False,False,False
deepseek_v4_pro,china,q10,control,4,True,stop,False,568.0,17.0,5.0,0,False,0.0,0.0,1003,13069,288.0,2.0,0.4,1.2000000000000002,0.29411764705882354,2,2.0,0.4,1.2000000000000002,0.29411764705882354,2,1.0,0.2,0.6000000000000001,0.4117647058823529,3,0.5,0.9,0.0,False,False,False
deepseek_v4_pro,china,q11,control,0,True,stop,False,424.0,19.0,10.0,0,False,0.0,0.0,912,12214,344.0,3.0,0.3,0.825,0.3157894736842105,1,3.0,0.3,1.1,0.3157894736842105,0,4.0,0.4,1.1,0.3684210526315789,0,0.5,0.8,0.0,False,False,False
deepseek_v4_pro,china,q11,control,1,True,stop,False,446.0,22.0,11.0,0,False,0.0,0.0,2457,12214,1803.0,4.0,0.36363636363636365,1.0,0.36363636363636365,0,3.0,0.2727272727272727,1.0,0.3181818181818182,0,4.0,0.36363636363636365,1.0,0.3181818181818182,0,0.8,1.0,0.0,False,False,False
deepseek_v4_pro,china,q11,control,2,True,stop,False,493.0,22.0,11.0,0,False,0.0,0.0,1063,12214,381.0,4.0,0.36363636363636365,1.0,0.36363636363636365,0,3.0,0.2727272727272727,1.0,0.4090909090909091,0,4.0,0.36363636363636365,1.0,0.22727272727272727,0,0.3,0.7,1.0,False,False,False
