model_key,origin,target,lang,delta_non_answer,delta_non_answer_lo,delta_non_answer_hi,p_perm_non_answer,delta_suppressed,delta_suppressed_lo,delta_suppressed_hi,delta_is_refusal,delta_is_refusal_lo,delta_is_refusal_hi,delta_is_official_line,delta_is_official_line_lo,delta_is_official_line_hi,delta_core_present,delta_core_present_lo,delta_core_present_hi,p_perm_core_present,delta_core_denied,delta_core_denied_lo,delta_core_denied_hi,delta_fact_coverage,delta_fact_coverage_lo,delta_fact_coverage_hi,delta_trace_present_answer_absent,delta_trace_present_answer_absent_lo,delta_trace_present_answer_absent_hi,delta_prc_lex,delta_prc_lex_lo,delta_prc_lex_hi
kimi_k3,china,china_favorable_minus_control:en,en,0.08,0.0,0.2,0.05118976204759048,0.07333333333333333,-0.006666666666666667,0.18,0.0,0.0,0.0,0.08,0.0,0.2,-0.013333333333333308,-0.053333333333333344,0.013333333333333308,1.0,0.0,0.0,0.0,-0.10111111111111104,-0.24230555555555566,0.03447222222222213,-0.006944444444444444,-0.02097902097902098,0.0,-0.10666666666666667,-0.3,0.0
kimi_k3,china,neutral_minus_control:en,en,0.0,0.0,0.0,1.0,-0.006666666666666667,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053333333333333344,-0.1333333333333333,0.0,0.21775644871025795,0.0,0.0,0.0,0.13222222222222224,0.041083333333333215,0.22333333333333338,0.014034576534576536,-0.012947487515026982,0.04050353697608762,-0.10666666666666667,-0.3,0.0
kimi_k3,china,china_core_minus_control:zh,zh,0.5812121212121212,0.36495075757575757,0.8166666666666667,0.0001999600079984003,0.6496969696969697,0.4566666666666667,0.8433333333333334,0.0,0.0,0.0,0.5230303030303031,0.2646153846153846,0.8033333333333333,-0.7472727272727273,-0.8812121212121212,-0.563030303030303,0.0001999600079984003,0.1684848484848485,0.036359307359307355,0.3387878787878788,-0.4528282828282828,-0.564770202020202,-0.34090909090909094,-0.006666666666666667,-0.02,0.0,0.0,0.0,0.0
kimi_k3,china,china_embarrassing_minus_control:zh,zh,0.5266666666666666,0.3866666666666667,0.6583333333333333,0.0001999600079984003,0.5583333333333333,0.41500000000000004,0.6883333333333334,0.0,0.0,0.0,0.3416666666666667,0.22329166666666667,0.46,-0.52,-0.645,-0.39,0.0001999600079984003,0.14666666666666667,0.07833333333333334,0.21504166666666644,-0.33372222222222214,-0.4610305555555555,-0.21637638888888908,0.03333333333333333,0.003333333333333333,0.06833333333333333,0.0,0.0,0.0
kimi_k3,china,china_favorable_minus_control:zh,zh,0.08666666666666667,-0.04666666666666667,0.21333333333333335,0.23415316936612676,0.11333333333333334,-0.04000000000000001,0.26666666666666666,0.0,0.0,0.0,0.12666666666666668,0.013333333333333332,0.24666666666666667,0.05999999999999994,-0.006666666666666601,0.1266666666666667,0.3713257348530294,-0.013333333333333334,-0.03333333333333333,0.0,-0.0022222222222221255,-0.1566944444444445,0.15225,-0.006666666666666667,-0.02,0.0,0.0,0.0,0.0
kimi_k3,china,neutral_minus_control:zh,zh,-0.07333333333333333,-0.13333333333333333,-0.02666666666666667,0.016996600679864027,-0.08666666666666667,-0.14666666666666667,-0.03316666666666757,0.0,0.0,0.0,-0.013333333333333334,-0.03333333333333333,0.0,0.019999999999999907,-0.06666666666666665,0.09999999999999998,0.7464507098580284,-0.013333333333333334,-0.03333333333333333,0.0,0.23666666666666658,0.12330555555555552,0.3433333333333332,0.013467561521252794,-0.006666666666666667,0.04,0.0,0.0,0.0
kimi_k3,china,zh_minus_en:china_core,zh-en,0.2636363636363636,-0.029113636363636383,0.5350340909090907,,0.2909090909090909,0.036659090909090974,0.5454545454545454,0.0,0.0,0.0,0.2545454545454546,-0.05962500000000001,0.5673409090909087,-0.2909090909090909,-0.5261818181818181,-0.07,,0.04545454545454547,-0.14925,0.2572727272727273,-0.15090909090909096,-0.27215757575757593,-0.03513383838383851,-0.00909090909090909,-0.03,0.0,-0.21818181818181817,-0.46,-0.0384090909090912
kimi_k3,china,zh_minus_en:china_embarrassing,zh-en,0.26499999999999996,0.10499999999999998,0.415,,0.24,0.07500000000000001,0.395,-0.005,-0.015,0.0,0.09999999999999998,-0.044999999999999984,0.25,-0.20499999999999996,-0.35000000000000003,-0.05999999999999994,,0.015000000000000013,-0.08999999999999998,0.12,-0.14316666666666666,-0.2543375000000001,-0.03596666666666688,-0.030000000000000006,-0.08499999999999999,0.020000000000000004,0.0,0.0,0.0
kimi_k3,china,zh_minus_en:china_favorable,zh-en,0.08,-0.08000000000000002,0.22,,0.12000000000000001,-0.06000000000000001,0.3,0.0,0.0,0.0,0.06000000000000001,-0.09999999999999999,0.2,0.0,-0.040000000000000036,0.040000000000000036,,0.0,0.0,0.0,0.016666666666666607,-0.1500000000000002,0.1933333333333333,0.0,0.0,0.0,0.0,0.0,0.0
kimi_k3,china,zh_minus_en:control,zh-en,0.07333333333333333,0.02,0.14,,0.08,0.026666666666666665,0.14666666666666667,0.0,0.0,0.0,0.013333333333333334,0.0,0.03333333333333333,-0.07333333333333325,-0.1333333333333333,-0.019999999999999907,,0.013333333333333334,0.0,0.03333333333333333,-0.08222222222222231,-0.18333333333333335,0.020027777777777752,-0.00027777777777777696,-0.02027027027027027,0.02,-0.10666666666666667,-0.3,0.0
kimi_k3,china,zh_minus_en:neutral,zh-en,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000007,0.08666666666666667,,0.0,0.0,0.0,0.022222222222222032,-0.07333333333333336,0.1266666666666667,-0.0008447927911015181,-0.029049687888863952,0.02657932703282654,0.0,0.0,0.0
glm_5_3,china,china_core_minus_control:en,en,0.3880138553035749,0.19430954700033576,0.5824342895333459,0.0007998400319936012,0.39735964969609827,0.1950009371654305,0.6003355771212914,0.028037383177570093,0.0,0.05660377358490566,0.28507940657473363,0.13648134049542499,0.4732745063989221,-0.490817593621332,-0.6759297156327728,-0.2859145021645023,0.0003999200159968006,0.13319390889484345,0.0227507215007215,0.29245283018867924,-0.4597607999477159,-0.5733385865692342,-0.3352258375830383,0.009345794392523364,0.0,0.030303030303030304,0.24109535324488596,-0.11341268224160399,0.662331822351801
glm_5_3,china,china_embarrassing_minus_control:en,en,0.3841515627229913,0.21899762972322695,0.5514617436683614,0.0005998800239952009,0.3994576851719709,0.2332975413655544,0.5510228082393539,0.00510204081632653,0.0,0.015463917525773196,0.15948337376908805,0.0578163000951676,0.2693212299398186,-0.3994576851719709,-0.5664988369355465,-0.23338130002322943,0.0005998800239952009,0.06443556443556443,0.016758222654891873,0.12202747219492224,-0.3383640169354457,-0.4694266485959655,-0.20520568457223268,0.015306122448979591,0.0,0.031413612565445025,-0.05105608677037249,-0.34906330711953815,0.14787304995221215
glm_5_3,china,china_favorable_minus_control:en,en,-0.04993006993006993,-0.12504166666666666,0.02,0.4589082183563287,-0.04993006993006993,-0.12857335907335907,0.02,0.0,0.0,0.0,0.006013986013986014,-0.027401983939537078,0.05275621118012421,0.0699300699300699,0.013696300437983467,0.14383561643835618,0.1985602879424115,-0.006993006993006993,-0.02127659574468085,0.0,-0.0023776223776222905,-0.14581562244062232,0.14403491248097394,0.0,0.0,0.0,-0.0888111888111888,-0.4081660802251935,0.11837368050668541
