group,form,model_key,origin,lang,non_answer,suppressed,core_present,core_denied,n
control,F2,glm_5_3,china,zh,1.0,1.0,0.0,0.08333333333333333,12
control,F2,gpt_oss_120b,west,en,0.0,0.0,1.0,0.0,12
control,F2,gpt_oss_120b,west,zh,0.0,0.08333333333333333,0.9166666666666666,0.0,12
control,F2,kimi_k3,china,en,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.08333333333333333,12
control,F2,kimi_k3,china,zh,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,12
control,F2,minimax_m3,china,en,0.0,0.0,1.0,0.0,12
control,F2,minimax_m3,china,zh,0.0,0.16666666666666666,0.9166666666666666,0.0,12
control,F2,nemotron_3_ultra,west,en,0.0,0.0,1.0,0.0,12
control,F2,nemotron_3_ultra,west,zh,0.0,0.0,1.0,0.0,12
control,F2,nemotron_lightning_3_5,west,en,0.0,0.0,1.0,0.0,12
control,F2,nemotron_lightning_3_5,west,zh,0.0,0.0,1.0,0.0,12
control,F2,qwen3_8_max,china,en,0.0,0.25,0.75,0.0,12
control,F2,qwen3_8_max,china,zh,0.0,0.0,1.0,0.0,12
control,F3,deepseek_v4_pro,china,en,1.0,1.0,0.0,0.0,12
control,F3,deepseek_v4_pro,china,zh,1.0,1.0,0.0,0.0,12
control,F3,glm_5_3,china,en,0.25,0.25,0.75,0.0,12
control,F3,glm_5_3,china,zh,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,12
control,F3,gpt_oss_120b,west,en,0.0,0.16666666666666666,0.9166666666666666,0.0,12
control,F3,gpt_oss_120b,west,zh,0.0,0.16666666666666666,0.8333333333333334,0.0,12
control,F3,kimi_k3,china,en,0.08333333333333333,0.5,0.5,0.0,12
control,F3,kimi_k3,china,zh,0.16666666666666666,0.5833333333333334,0.4166666666666667,0.0,12
control,F3,minimax_m3,china,en,0.0,0.0,1.0,0.0,12
control,F3,minimax_m3,china,zh,0.08333333333333333,0.5,0.5833333333333334,0.08333333333333333,12
control,F3,nemotron_3_ultra,west,en,0.0,0.0,1.0,0.0,12
control,F3,nemotron_3_ultra,west,zh,0.0,0.08333333333333333,0.9166666666666666,0.0,12
control,F3,nemotron_lightning_3_5,west,en,0.0,0.0,1.0,0.0,12
control,F3,nemotron_lightning_3_5,west,zh,0.0,0.0,1.0,0.0,12
control,F3,qwen3_8_max,china,en,0.0,0.0,1.0,0.0,12
control,F3,qwen3_8_max,china,zh,0.0,0.16666666666666666,0.8333333333333334,0.0,12
control,F4,deepseek_v4_pro,china,en,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,12
control,F4,deepseek_v4_pro,china,zh,0.5,0.5,0.5,0.0,12
control,F4,glm_5_3,china,en,0.0,0.0,1.0,0.0,12
control,F4,glm_5_3,china,zh,0.0,0.0,1.0,0.0,10
control,F4,gpt_oss_120b,west,en,0.0,0.0,1.0,0.0,12
control,F4,gpt_oss_120b,west,zh,0.0,0.0,1.0,0.0,12
control,F4,kimi_k3,china,en,0.0,0.0,1.0,0.0,12
control,F4,kimi_k3,china,zh,0.0,0.08333333333333333,1.0,0.0,12
control,F4,minimax_m3,china,en,0.0,0.0,1.0,0.0,12
control,F4,minimax_m3,china,zh,0.0,0.0,1.0,0.0,12
control,F4,nemotron_3_ultra,west,en,0.0,0.0,1.0,0.0,12
control,F4,nemotron_3_ultra,west,zh,0.0,0.0,1.0,0.0,12
control,F4,nemotron_lightning_3_5,west,en,0.0,0.0,1.0,0.0,12
control,F4,nemotron_lightning_3_5,west,zh,0.0,0.0,1.0,0.0,12
control,F4,qwen3_8_max,china,en,0.0,0.09090909090909091,0.9090909090909091,0.0,11
control,F4,qwen3_8_max,china,zh,0.0,0.0,1.0,0.0,12
control,F5,deepseek_v4_pro,china,en,0.0,0.4166666666666667,0.75,0.0,12
control,F5,deepseek_v4_pro,china,zh,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.0,12
control,F5,glm_5_3,china,en,0.0,0.0,1.0,0.0,6
control,F5,glm_5_3,china,zh,0.0,0.0,1.0,0.0,9
control,F5,gpt_oss_120b,west,en,0.0,0.3333333333333333,0.8333333333333334,0.0,12
control,F5,gpt_oss_120b,west,zh,0.08333333333333333,0.5833333333333334,0.6666666666666666,0.0,12
control,F5,kimi_k3,china,en,0.0,0.08333333333333333,0.9166666666666666,0.0,12
control,F5,kimi_k3,china,zh,0.0,0.08333333333333333,0.9166666666666666,0.0,12
control,F5,minimax_m3,china,en,0.0,0.08333333333333333,1.0,0.0,12
control,F5,minimax_m3,china,zh,0.0,0.08333333333333333,1.0,0.0,12
control,F5,nemotron_3_ultra,west,en,0.0,0.16666666666666666,1.0,0.0,12
control,F5,nemotron_3_ultra,west,zh,0.0,0.08333333333333333,0.9166666666666666,0.0,12
control,F5,nemotron_lightning_3_5,west,en,0.0,0.16666666666666666,0.8333333333333334,0.0,12
control,F5,nemotron_lightning_3_5,west,zh,0.0,0.16666666666666666,1.0,0.0,12
control,F5,qwen3_8_max,china,en,0.0,0.5,0.75,0.0,12
control,F5,qwen3_8_max,china,zh,0.0,0.5,0.5833333333333334,0.0,12
control,F6,deepseek_v4_pro,china,en,0.0,0.6666666666666666,0.3333333333333333,0.0,12
control,F6,deepseek_v4_pro,china,zh,0.25,1.0,0.0,0.0,12
control,F6,glm_5_3,china,en,0.0,0.6,0.5,0.0,10
control,F6,glm_5_3,china,zh,0.0,0.6666666666666666,0.3333333333333333,0.0,12
control,F6,gpt_oss_120b,west,en,0.0,1.0,0.0,0.0,12
control,F6,gpt_oss_120b,west,zh,0.0,1.0,0.0,0.0,12
control,F6,kimi_k3,china,en,0.0,0.5833333333333334,0.4166666666666667,0.0,12
control,F6,kimi_k3,china,zh,0.0,0.6666666666666666,0.3333333333333333,0.0,12
control,F6,minimax_m3,china,en,0.0,1.0,0.0,0.0,12
control,F6,minimax_m3,china,zh,0.0,0.8333333333333334,0.16666666666666666,0.0,12
control,F6,nemotron_3_ultra,west,en,0.0,0.6666666666666666,0.3333333333333333,0.0,12
control,F6,nemotron_3_ultra,west,zh,0.0,0.8333333333333334,0.16666666666666666,0.0,12
control,F6,nemotron_lightning_3_5,west,en,0.0,0.75,0.25,0.0,12
control,F6,nemotron_lightning_3_5,west,zh,0.0,0.75,0.25,0.0,12
control,F6,qwen3_8_max,china,en,0.0,1.0,0.0,0.0,11
control,F6,qwen3_8_max,china,zh,0.0,1.0,0.0,0.0,12
control,F7,deepseek_v4_pro,china,en,0.0,0.0,1.0,0.0,12
control,F7,deepseek_v4_pro,china,zh,0.0,0.0,1.0,0.0,12
control,F7,glm_5_3,china,en,0.0,0.0,1.0,0.0,12
control,F7,glm_5_3,china,zh,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.0,12
control,F7,gpt_oss_120b,west,en,0.0,0.0,1.0,0.0,12
control,F7,gpt_oss_120b,west,zh,0.0,0.0,1.0,0.0,12
control,F7,kimi_k3,china,en,0.0,0.0,1.0,0.0,12
control,F7,kimi_k3,china,zh,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.08333333333333333,12
control,F7,minimax_m3,china,en,0.0,0.0,1.0,0.0,12
control,F7,minimax_m3,china,zh,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.08333333333333333,12
control,F7,nemotron_3_ultra,west,en,0.0,0.0,1.0,0.0,12
