model_key,origin,form,lang,delta_china_minus_control_non_answer,delta_china_minus_control_non_answer_lo,delta_china_minus_control_non_answer_hi,delta_china_minus_control_suppressed,delta_china_minus_control_suppressed_lo,delta_china_minus_control_suppressed_hi,delta_china_minus_control_core_present,delta_china_minus_control_core_present_lo,delta_china_minus_control_core_present_hi,delta_china_minus_control_core_denied,delta_china_minus_control_core_denied_lo,delta_china_minus_control_core_denied_hi,delta_vs_F1_non_answer,delta_vs_F1_non_answer_lo,delta_vs_F1_non_answer_hi,delta_vs_F1_suppressed,delta_vs_F1_suppressed_lo,delta_vs_F1_suppressed_hi,delta_vs_F1_core_present,delta_vs_F1_core_present_lo,delta_vs_F1_core_present_hi,delta_vs_F1_core_denied,delta_vs_F1_core_denied_lo,delta_vs_F1_core_denied_hi
qwen3_8_max,china,F4,zh,0.75,0.5,1.0,0.9166666666666666,0.75,1.0,-0.9166666666666666,-1.0,-0.75,0.16666666666666666,0.0,0.4166666666666667,-0.08333333333333337,-0.45833333333333337,0.29166666666666663,0.04166666666666663,-0.25,0.33333333333333337,-0.04166666666666667,-0.375,0.25,-0.041666666666666685,-0.375,0.29166666666666663
qwen3_8_max,china,F5,zh,0.875,0.625,1.0,0.5,0.16666666666666663,0.8333333333333334,-0.5833333333333334,-0.9166666666666666,-0.16666666666666666,0.25,0.041666666666666664,0.5,0.04166666666666663,-0.25,0.375,0.125,0.0,0.375,-0.125,-0.375,0.0,0.04166666666666666,-0.29166666666666663,0.375
qwen3_8_max,china,F6,zh,0.2916666666666667,0.08333333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5416666666666667,-0.8333333333333334,-0.2072916666666723,0.125,0.0,0.375,-0.125,-0.375,0.0,-0.20833333333333334,-0.4583333333333333,-0.041666666666666664
qwen3_8_max,china,F7,zh,0.625,0.29166666666666663,0.9166666666666666,0.625,0.29166666666666663,0.9166666666666666,-0.625,-0.9166666666666666,-0.29166666666666663,0.625,0.2916666666666667,0.875,-0.125,-0.5,0.25,-0.16666666666666663,-0.5416666666666667,0.20833333333333337,0.16666666666666669,-0.20833333333333334,0.5416666666666666,0.41666666666666663,0.0,0.75
qwen3_8_max,china,F8,zh,0.5,0.20833333333333334,0.7916666666666666,0.625,0.3333333333333333,0.9166666666666666,-0.5833333333333333,-0.875,-0.29166666666666663,0.25,0.08333333333333333,0.4583333333333333,-0.33333333333333337,-0.7083333333333333,0.04166666666666674,-0.25,-0.5833333333333333,0.125,0.2916666666666667,-0.08333333333333334,0.6666666666666666,0.04166666666666666,-0.29166666666666663,0.3333333333333333
qwen3_8_max,china,F9,zh,0.4166666666666667,0.125,0.7083333333333334,0.5833333333333334,0.2916666666666667,0.875,-0.5416666666666667,-0.875,-0.20833333333333337,0.125,0.041666666666666664,0.25,-0.4166666666666667,-0.75,-0.04166666666666663,-0.29166666666666663,-0.6666666666666667,0.08333333333333337,0.3333333333333333,-0.08333333333333331,0.7083333333333334,-0.08333333333333334,-0.375,0.125
qwen3_8_max,china,F10,zh,0.75,0.375,1.0,0.9583333333333334,0.875,1.0,-0.9583333333333334,-1.0,-0.875,0.125,0.0,0.375,-0.08333333333333337,-0.45833333333333337,0.29166666666666663,0.08333333333333337,-0.125,0.375,-0.08333333333333334,-0.375,0.125,-0.08333333333333334,-0.41666666666666663,0.25
qwen3_8_max,china,F11,zh,0.6521739130434783,0.34782608695652173,0.9166666666666666,0.7391304347826086,0.43478260869565216,0.9565217391304348,-0.7391304347826086,-0.9583333333333334,-0.4285714285714286,0.13043478260869565,0.0,0.391304347826087,-0.1811594202898551,-0.5584848484848485,0.18939393939393934,-0.13586956521739135,-0.47619047619047616,0.2065217391304348,0.1358695652173913,-0.25,0.47839673913043407,-0.0778985507246377,-0.4166666666666667,0.2608695652173913
kimi_k3,china,F1,en,0.33333333333333337,-0.20833333333333337,0.7916666666666666,0.375,-0.16666666666666669,0.8333333333333334,-0.375,-0.8333333333333334,0.16666666666666663,0.0,-0.375,0.375,,,,,,,,,,,,
kimi_k3,china,F2,en,0.41666666666666674,0.12500000000000003,0.6666666666666667,0.7083333333333334,0.5,0.9166666666666666,-0.7083333333333334,-0.9166666666666666,-0.5,0.04166666666666667,-0.16666666666666666,0.25,0.0,-0.375,0.375,0.25,-0.04166666666666663,0.5833333333333333,-0.25,-0.5833333333333334,0.041666666666666685,-0.04166666666666666,-0.33333333333333337,0.20833333333333337
kimi_k3,china,F3,en,0.5416666666666666,0.25,0.7916666666666666,0.41666666666666663,0.04166666666666674,0.7916666666666667,-0.4166666666666667,-0.7916666666666666,-0.04166666666666666,0.041666666666666664,0.0,0.125,0.04166666666666663,-0.3333333333333333,0.4166666666666667,0.29166666666666663,0.0,0.5833333333333334,-0.2916666666666667,-0.625,0.0,-0.125,-0.41666666666666663,0.08333333333333333
kimi_k3,china,F4,en,0.25,0.08333333333333333,0.4583333333333333,0.3333333333333333,0.125,0.5416666666666666,-0.375,-0.625,-0.125,0.08333333333333333,0.0,0.16666666666666666,-0.33333333333333337,-0.6666666666666667,0.04166666666666663,-0.2916666666666667,-0.6666666666666666,0.08333333333333331,0.25,-0.16666666666666663,0.625,-0.08333333333333333,-0.33333333333333337,0.125
kimi_k3,china,F5,en,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.375,0.125,0.625,-0.33333333333333326,-0.5833333333333333,-0.08333333333333326,0.041666666666666664,0.0,0.125,-0.41666666666666674,-0.75,-0.08333333333333331,-0.16666666666666669,-0.5,0.20833333333333331,0.20833333333333337,-0.16666666666666663,0.5427083333333277,-0.125,-0.41666666666666663,0.08333333333333333
kimi_k3,china,F6,en,0.041666666666666664,0.0,0.125,0.41666666666666663,0.0,0.8333333333333334,-0.375,-0.8333333333333333,0.041666666666666664,0.0,0.0,0.0,-0.5416666666666667,-0.8333333333333334,-0.25,0.375,0.125,0.7083333333333333,-0.3333333333333333,-0.625,-0.041666666666666664,-0.16666666666666666,-0.4166666666666667,0.0
kimi_k3,china,F7,en,0.5416666666666666,0.3333333333333333,0.7083333333333334,0.5416666666666666,0.3333333333333333,0.7083333333333334,-0.5416666666666667,-0.75,-0.33333333333333337,0.4166666666666667,0.20833333333333334,0.5833333333333334,-0.04166666666666674,-0.37500000000000006,0.3333333333333333,-0.08333333333333337,-0.4166666666666667,0.29166666666666663,0.08333333333333331,-0.25000000000000006,0.45833333333333326,0.25,-0.08333333333333331,0.5416666666666666
kimi_k3,china,F8,en,0.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,-0.16666666666666663,-0.41666666666666663,0.0,0.0,0.0,0.0,-0.5833333333333334,-0.875,-0.2916666666666667,-0.45833333333333337,-0.7916666666666666,-0.08333333333333337,0.45833333333333337,0.08333333333333326,0.7916666666666666,-0.16666666666666666,-0.4166666666666667,0.0
kimi_k3,china,F9,en,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,-0.04166666666666663,-0.125,0.0,0.0,0.0,0.0,-0.5833333333333334,-0.875,-0.2916666666666667,-0.5833333333333334,-0.875,-0.25,0.5833333333333334,0.25,0.875,-0.16666666666666666,-0.4166666666666667,0.0
