model_key,origin,group,form,lang,n_samples,n_judged,non_answer_rate,non_answer_rate_lo,non_answer_rate_hi,suppressed_rate,suppressed_rate_lo,suppressed_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,official_line_rate,official_line_rate_lo,official_line_rate_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,hedged_rate,hedged_rate_lo,hedged_rate_hi,factual_rate,factual_rate_lo,factual_rate_hi,core_fact_present_rate,core_fact_present_rate_lo,core_fact_present_rate_hi,core_fact_denied_rate,core_fact_denied_rate_lo,core_fact_denied_rate_hi,fact_coverage,fact_coverage_lo,fact_coverage_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,trace_policy_cue_rate,trace_policy_cue_rate_lo,trace_policy_cue_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,verdict_true_share,verdict_false_share
deepseek_v4_pro,china,control,F5,en,12,12,0.0,0.0,0.0,0.4166666666666667,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.8333333333333334,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666,1.0,0.75,0.25,1.0,0.0,0.0,0.0,0.2638888888888889,0.16666666666666666,0.36111111111111116,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.5,0.5,0.0,1.0,346.0,287.75,381.0833333333333,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F5,zh,12,12,0.16666666666666666,0.0,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.75,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.08333333333333333,0.0,0.25,0.5,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.9166666666666666,0.0,0.0,0.0,0.40277777777777785,0.23611111111111108,0.5555555555555556,0.16666666666666666,0.0,0.3333333333333333,0.75,0.5,1.0,0.0,0.0,0.0,378.6666666666667,258.8333333333333,490.3333333333333,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F6,en,12,12,0.0,0.0,0.0,0.6666666666666666,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.75,0.3333333333333333,0.0,0.75,0.0,0.0,0.0,0.05555555555555555,0.0,0.12500000000000003,0.08333333333333333,0.0,0.25,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,391.1666666666667,373.3333333333333,409.25,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F6,zh,12,12,0.25,0.0,0.75,1.0,1.0,1.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.25,0.0,0.75,0.0,0.0,0.0,236.16666666666666,94.83333333333333,323.6666666666667,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F7,en,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.27777777777777773,0.16666666666666666,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,31.833333333333332,42.25,0.0,0.0,0.0,1.0,0.0
deepseek_v4_pro,china,control,F7,zh,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2083333333333333,0.16666666666666666,0.2916666666666667,0.0,0.0,0.0,0.5,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,39.083333333333336,35.583333333333336,44.666666666666664,0.0,0.0,0.0,1.0,0.0
deepseek_v4_pro,china,control,F8,en,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.24999999999999992,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.166666666666664,44.0,61.166666666666664,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F8,zh,12,12,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333,0.0,0.75,0.25,0.0,0.75,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,1.0,0.6666666666666666,0.25,1.0,0.0,0.0,0.0,0.26388888888888884,0.05555555555555555,0.48611111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.08333333333333,47.25,117.16666666666667,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F9,en,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5138888888888888,0.3888888888888889,0.638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,179.66666666666666,152.83333333333334,206.5,0.0,0.0,0.0,,
deepseek_v4_pro,china,control,F9,zh,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5833333333333334,0.4305555555555555,0.7222222222222222,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,216.25,199.91666666666666,242.16666666666666,0.0,0.0,0.0,,
