model_key,origin,group,n_samples,n_judged,recall,recall_lo,recall_hi,distortion_rate,distortion_rate_lo,distortion_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,insertion_rate,insertion_rate_lo,insertion_rate_hi,framing_insertion_rate,framing_insertion_rate_lo,framing_insertion_rate_hi,disclaimer_insertion_rate,disclaimer_insertion_rate_lo,disclaimer_insertion_rate_hi,fact_insertion_rate,fact_insertion_rate_lo,fact_insertion_rate_hi,mean_insertions,mean_insertions_lo,mean_insertions_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi
minimax_m3,china,china_western_or_ngo,60,60,0.4413502109704641,0.40334728033472805,0.4810212400772366,0.05232067510548523,0.038493723849372385,0.06751054852320675,0.5063291139240507,0.4610151305739434,0.553781512605042,0.04050632911392405,0.023726310519917044,0.05966386554621849,0.06666666666666667,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.06666666666666667,0.0,0.16708333333333106,0.08333333333333333,0.0,0.25,1.25,0.75,1.817083333333331,248.35,241.3,254.93375,0.0,0.0,0.0,0.0,0.0,0.0,596.4666666666667,519.1779166666666,695.1570833333332
gpt_oss_120b,west,china,100,100,0.4642857142857143,0.41413403263403264,0.5140683041966088,0.06683673469387755,0.04783715012722646,0.08979721330156427,0.4688775510204082,0.41840616057680236,0.5195189873417719,0.010714285714285714,0.004060656685728973,0.0183685213215721,0.16,0.06,0.27,0.08,0.02,0.16,0.0,0.0,0.0,0.12,0.04,0.22,0.26,0.09,0.49,0.31,0.05,0.6902499999999986,0.62,0.25,1.01,258.41,250.33950000000002,266.79275,0.0,0.0,0.0,0.0,0.0,0.0,354.27,338.769,372.90099999999995
gpt_oss_120b,west,control,100,100,0.4172151898734177,0.3837954069636358,0.4547861740499392,0.08708860759493671,0.07203929471032745,0.10283206940874035,0.4956962025316456,0.4520408163265306,0.5323318597445779,0.004132231404958678,0.0015113350125944584,0.0077279752704791345,0.23,0.13,0.34,0.08,0.02,0.17,0.02,0.0,0.06,0.14,0.07,0.22,0.26,0.14,0.4,0.21,0.06,0.4,1.31,0.72,1.98,263.05,254.659,273.17125,0.0,0.0,0.0,0.0,0.0,0.0,364.16,343.18825,385.0625
gpt_oss_120b,west,neutral,100,100,0.48,0.43816003201811754,0.5200025445292621,0.08506329113924051,0.06309706931604588,0.10757575757575757,0.43493670886075947,0.3914743380189605,0.47990328225046625,0.009302325581395349,0.003574985407850577,0.015971148892323546,0.27,0.15,0.4,0.02,0.0,0.06,0.0,0.0,0.0,0.24,0.13975000000000004,0.36,0.34,0.18,0.53,0.0,0.0,0.0,0.0,0.0,0.0,284.93,269.84925000000004,301.12525,0.0,0.0,0.0,0.0,0.0,0.0,368.65,345.48650000000004,391.63
gpt_oss_120b,west,china_prc_state,40,40,0.5187096774193548,0.43821656050955415,0.5882352941176471,0.06709677419354838,0.048366013071895426,0.08961038961038961,0.41419354838709677,0.33986928104575165,0.49937898089171967,0.01806451612903226,0.003870967741935484,0.03355383326351065,0.275,0.075,0.5,0.2,0.05,0.35,0.0,0.0,0.0,0.175,0.025,0.4,0.5,0.15,0.975,0.7,0.1,1.5,0.325,0.0,0.975,255.425,243.89875,269.50124999999997,0.0,0.0,0.0,0.0,0.0,0.0,368.325,342.22312500000004,401.78124999999994
gpt_oss_120b,west,china_western_or_ngo,60,60,0.4286919831223629,0.3728813559322034,0.48681129365293113,0.06666666666666667,0.037815126050420166,0.1021097046413502,0.5046413502109705,0.44490581825950715,0.5635593220338984,0.00590717299578059,0.0,0.012658227848101266,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.1,0.016666666666666666,0.21666666666666667,0.05,0.0,0.15,0.8166666666666667,0.4166666666666667,1.3166666666666667,260.4,249.34916666666666,271.535,0.0,0.0,0.0,0.0,0.0,0.0,344.9,326.815,365.1
nemotron_3_ultra,west,china,100,100,0.5229591836734694,0.45866973697876096,0.586714370530821,0.0653061224489796,0.052145811189486906,0.0792865231057574,0.411734693877551,0.3515617028061224,0.4765917678039843,0.031443298969072164,0.013917525773195877,0.053229974160206715,0.26,0.14,0.38,0.09,0.03,0.16,0.0,0.0,0.0,0.19,0.08,0.31,0.33,0.18,0.49,0.77,0.28,1.37,1.14,0.58,1.78,270.68,261.07975,280.32075,0.0,0.0,0.0,0.0,0.0,0.0,549.23,469.13775,635.19325
nemotron_3_ultra,west,control,100,100,0.48928571428571427,0.44260464452269915,0.5354410264779079,0.08163265306122448,0.060815458723934665,0.10376491602139674,0.4290816326530612,0.37932597389853795,0.4774711921691165,0.013775510204081633,0.006249594155844156,0.021952311147152386,0.26,0.14,0.38,0.12,0.05,0.21,0.0,0.0,0.0,0.19,0.09,0.2902499999999986,0.4,0.18,0.66,0.14,0.0,0.33,1.61,0.88,2.36,272.43,262.87975,281.541,0.0,0.0,0.0,0.0,0.0,0.0,536.6,449.91675000000004,627.5947499999999
nemotron_3_ultra,west,neutral,100,100,0.5483544303797468,0.5020405573396872,0.5975054208107194,0.0820253164556962,0.058940595072178394,0.10831234256926953,0.369620253164557,0.32730669384458594,0.4161219245350228,0.01278772378516624,0.004091810637298398,0.02344130608974357,0.31,0.19,0.43,0.11,0.05,0.18,0.0,0.0,0.0,0.24,0.12,0.36,0.47,0.26975000000000005,0.69,0.0,0.0,0.0,0.0,0.0,0.0,268.77,259.20875,278.04075,0.0,0.0,0.0,0.0,0.0,0.0,462.28,389.23,549.2125
nemotron_3_ultra,west,china_prc_state,40,40,0.5625806451612904,0.4496574391638086,0.6649350649350649,0.08,0.0605195681511471,0.1076923076923077,0.3574193548387097,0.2545454545454545,0.47435897435897434,0.04105960264900662,0.014958503401360543,0.06884115884115878,0.375,0.175,0.575,0.125,0.0,0.275,0.0,0.0,0.0,0.275,0.1,0.475,0.5,0.2,0.8,1.775,0.8,2.85,0.675,0.0,1.775,273.175,264.025,282.425,0.0,0.0,0.0,0.0,0.0,0.0,619.375,477.946875,767.150625
nemotron_3_ultra,west,china_western_or_ngo,60,60,0.4970464135021097,0.42362869198312236,0.5697542016806723,0.05569620253164557,0.041176470588235294,0.06978723404255319,0.4472573839662447,0.38319150444988126,0.5166082014911801,0.02531645569620253,0.004201680672268907,0.057506014644351434,0.18333333333333332,0.08333333333333333,0.3,0.06666666666666667,0.016666666666666666,0.11666666666666667,0.0,0.0,0.0,0.13333333333333333,0.016666666666666666,0.26666666666666666,0.21666666666666667,0.08333333333333333,0.36708333333333104,0.1,0.0,0.26666666666666666,1.45,0.7666666666666667,2.2333333333333334,269.01666666666665,254.49666666666667,283.3520833333333,0.0,0.0,0.0,0.0,0.0,0.0,502.46666666666664,409.3808333333333,592.6683333333333
nemotron_lightning_3_5,west,china,100,100,0.444794952681388,0.3927537281310468,0.4994859846338936,0.06677181913774974,0.052827983471526695,0.08246998828164354,0.48843322818086227,0.42664228364019513,0.5409910380021703,0.016824395373291272,0.010378423870227017,0.02437769240169869,0.31958762886597936,0.20618556701030927,0.4489795918367347,0.13402061855670103,0.0625,0.21428571428571427,0.0,0.0,0.0,0.17525773195876287,0.07366502192982456,0.2989948453608246,0.4020618556701031,0.24725148123765636,0.5914088215931533,0.845360824742268,0.37755102040816324,1.3601145833333328,1.0618556701030928,0.5353535353535354,1.6908778506716642,241.1443298969072,233.95874118285403,248.25543617021276,0.0,0.0,0.0,0.03,0.0,0.08,3011.0,2620.33375,3440.2760000000003
nemotron_lightning_3_5,west,control,100,100,0.414621409921671,0.37018670009494886,0.4663243331128286,0.0793733681462141,0.06592770210795294,0.09302654729559898,0.5060052219321148,0.4590466616043506,0.5521962521986199,0.023333333333333334,0.017929179886131515,0.029587393738337124,0.3402061855670103,0.23404255319148937,0.4479432397959182,0.25773195876288657,0.15625,0.3600206185567009,0.010309278350515464,0.0,0.031578947368421054,0.1134020618556701,0.0625,0.16494845360824742,0.4639175257731959,0.3099819587628866,0.618619099294628,0.14432989690721648,0.0,0.3434343434343434,1.402061855670103,0.7653061224489796,2.125,240.39175257731958,231.48953018707482,248.7067642320086,0.0,0.0,0.0,0.03,0.0,0.07,3302.19,2749.26375,3812.4577499999996
nemotron_lightning_3_5,west,neutral,100,100,0.44093178036605657,0.4008249670836076,0.4788420592480376,0.08430393788130892,0.060503805295703185,0.11129568106312292,0.4747642817526345,0.4341374519742074,0.5171496910814163,0.014533258803801007,0.007777561968183499,0.02100230838070937,0.391304347826087,0.26960739482623464,0.5106382978723404,0.2608695652173913,0.1630371587462083,0.35789473684210527,0.0,0.0,0.0,0.18478260869565216,0.09676447726389428,0.2826086956521739,0.532608695652174,0.34730490018148824,0.7292170698924728,0.0,0.0,0.0,0.0,0.0,0.0,240.72826086956522,231.38897597254004,251.06405695921987,0.0,0.0,0.0,0.08,0.03,0.13,3389.8,2941.9655000000002,3861.3757499999997
nemotron_lightning_3_5,west,china_prc_state,40,40,0.5212903225806451,0.4356267432663087,0.6064516129032258,0.06580645161290323,0.04331210191082802,0.09150600885515495,0.4129032258064516,0.3159150880966167,0.5210191082802548,0.012903225806451613,0.0064516129032258064,0.0196078431372549,0.35,0.175,0.575,0.125,0.025,0.275,0.0,0.0,0.0,0.225,0.05,0.475,0.45,0.2,0.8006249999999966,1.85,1.0993750000000002,2.625,0.65,0.0,1.65,250.625,240.8,259.35062500000004,0.0,0.0,0.0,0.0,0.0,0.0,2982.5,2501.15625,3536.6106249999993
nemotron_lightning_3_5,west,china_western_or_ngo,60,60,0.3921916592724046,0.3451455967838323,0.44150863628179193,0.06743566992014197,0.04957888593061652,0.08815961069834335,0.5403726708074534,0.4921176993856503,0.5892829394262616,0.019520851818988466,0.009649122807017544,0.030908654788771753,0.2982456140350877,0.15789473684210525,0.4444940476190473,0.14035087719298245,0.05263157894736842,0.23333333333333334,0.0,0.0,0.0,0.14035087719298245,0.05172413793103448,0.25,0.3684210526315789,0.2,0.562528409090909,0.14035087719298245,0.0,0.32728056426332286,1.3508771929824561,0.7367246240601504,2.0702067669172934,234.49122807017545,226.20330508474578,243.08231910946196,0.0,0.0,0.0,0.05,0.0,0.13333333333333333,3030.0,2463.5558333333333,3661.294583333333
